,STORE_CD,L12M_TY_QTY,CHANNEL_DSC,SUBCHANNEL_DSC,FOOD_TYPE_GROUP_DSC,WINE_FLG,LIQUOR_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT,NORM_L12M_TY_QTY,CLUSTER,RTL_STORE_CD,BEERTYPE
1776,105648939,29.0,DINING,CASUAL DINING,VARIED MENU,True,True,0.9643,0.0036,0.0049,0.0147,0.0028,0.0048,0.0071,0.0086,0.0392,0.0648,0.0811,0.0869,0.08,0.2052,0.1445,0.2983,0.0236,0.0563,0.0624,0.0751,0.0731,0.0471,0.0283,0.0232,0.0572,0.0603,0.0716,0.0703,0.0507,0.0378,0.004935572530199851,0,105648939,NonLowPoint
1777,205647384,1.0,DINING,CASUAL DINING,AMERICAN,True,True,0.7805,0.0389,0.0398,0.1291,0.0283,0.0432,0.0576,0.0091,0.0481,0.1318,0.1199,0.1007,0.0921,0.1681,0.1514,0.188,0.0235,0.0649,0.064,0.059000000000000004,0.0587,0.0412,0.0347,0.0217,0.063,0.0586,0.0545,0.0575,0.045,0.0592,7.237480331404694e-05,0,205647384,NonLowPoint
1778,101949793,7.0,LODGING,FULL SERVICE LODGING,OTHER,True,True,0.893,0.0029,0.0047,0.0158,0.0034,0.0051,0.0073,0.0203,0.0498,0.0865,0.0959,0.098,0.0921,0.2077,0.1496,0.2206,0.0228,0.0508,0.0533,0.0595,0.0776,0.0619,0.0375,0.0216,0.0489,0.0512,0.0574,0.0755,0.0614,0.0459,0.0011144886019324334,0,101949793,NonLowPoint
1779,102041592,75.0,DINING,CASUAL DINING,AMERICAN,True,True,0.9267,0.0166,0.0192,0.0249,0.0044,0.0081,0.0123,0.0089,0.0185,0.0311,0.0415,0.0553,0.0575,0.1851,0.1704,0.4406,0.0234,0.0602,0.0722,0.0758,0.0591,0.0334,0.0163,0.0227,0.0612,0.07200000000000001,0.0751,0.0591,0.0361,0.0195,0.012925111652940814,0,102041592,NonLowPoint
1780,302023843,178.7495,DINING,FAST CASUAL,MEXICAN,True,True,0.7942,0.0626,0.0911,0.0364,0.006,0.0117,0.0188,0.0133,0.0125,0.0283,0.0358,0.0377,0.0447,0.131,0.1332,0.5769,0.0243,0.0483,0.0672,0.0757,0.0618,0.0323,0.0167,0.024,0.0556,0.07400000000000001,0.0809,0.0678,0.0376,0.0225,0.030944909244567196,0,302023843,NonLowPoint
1781,102006594,303.0,DINING,CASUAL DINING,AMERICAN,True,True,0.8234,0.0492,0.0616,0.0504,0.0098,0.0165,0.0241,0.0129,0.0306,0.0534,0.0653,0.0721,0.0716,0.1765,0.1504,0.38,0.0214,0.0654,0.0654,0.0594,0.0624,0.0393,0.0283,0.0222,0.0701,0.0665,0.0635,0.0706,0.0467,0.0382,0.052525436000439504,0,102006594,NonLowPoint
1782,102071705,460.0,DINING,CASUAL DINING,VARIED MENU,True,True,0.6701,0.1515,0.0698,0.0731,0.0172,0.0253,0.0306,0.0242,0.078,0.0993,0.0935,0.0874,0.0871,0.1811,0.1273,0.2463,0.0308,0.1007,0.0771,0.0588,0.0545,0.0323,0.0187,0.0297,0.0954,0.0735,0.0542,0.054000000000000006,0.0362,0.0294,0.0797940803976206,0,102071705,NonLowPoint
1783,102634710,38.5553,LODGING,RESORT/CONVENTION,OTHER,True,True,0.96,0.0038,0.0054,0.0123,0.0026,0.004,0.0057,0.0082,0.0435,0.081,0.0964,0.0999,0.0967,0.2102,0.15,0.2223,0.0222,0.0535,0.0548,0.0628,0.0755,0.0619,0.0375,0.0216,0.0524,0.0533,0.0613,0.0759,0.0626,0.0454,0.006595190860189563,0,102634710,NonLowPoint
1784,205526273,171.0,DINING,CASUAL DINING,AMERICAN,True,True,0.8224,0.0497,0.0777,0.0332,0.0071,0.0101,0.0159,0.0137,0.0254,0.0466,0.065,0.0703,0.0624,0.1623,0.1433,0.4247,0.0231,0.0635,0.0576,0.0587,0.0679,0.054000000000000006,0.0361,0.0219,0.0628,0.0584,0.0619,0.0785,0.063,0.0477,0.029598932430834994,0,205526273,NonLowPoint
1785,202581097,213.278,DINING,CASUAL DINING,AMERICAN,True,True,0.7326,0.083,0.1085,0.0564,0.0106,0.0177,0.0281,0.0151,0.0247,0.0446,0.0559,0.0637,0.068,0.1768,0.1412,0.4252,0.0244,0.0624,0.0663,0.0663,0.06,0.0349,0.0201,0.0238,0.0672,0.0693,0.0715,0.0667,0.0415,0.0294,0.036942013627166356,0,202581097,NonLowPoint
