"RTL_STORE_CD","ITEM_MASTER_SKU_DSC","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_PREMISE_TYPE_CD","WJXBFS1"
"101747398","CORONA EX 24PK BT","BAR/NIGHTCLUB","SPORTS BAR","ON",14
"101747398","CORONA LT 18PK BT","BAR/NIGHTCLUB","SPORTS BAR","ON",3
"102344521","CORONITA 7OZ 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",4.0831
"101623121","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",158
"101623121","MODELO ESP 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",245
"202004035","CORONA LT 18PK BT","DINING","CASUAL DINING","ON",0.75
"100763083","CORONA LT 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",28
"101794353","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",125
"300991423","CORONA LT 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",40
"101736334","VICTORIA 12PK BT","DINING","CASUAL DINING","ON",5
"107378492","MODELO NEGRA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",10
"107378492","MODELO ESP 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",1
"201621717","MODELO ESP 12PK BT","DINING","CASUAL DINING","ON",1
"101404106","CORONITA 7OZ 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",10.4995
"101000554","VICTORIA 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",55
"101736774","CORONA LT 18PK BT","BAR/NIGHTCLUB","IRISH PUB","ON",28.5
"107143648","MODELO ESP 3.2 18PK CAN","GROCERY","SUPERCENTER","OFF",2.25
"102272317","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",68
"102272317","MODELO ESP 24OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",16
"101403935","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",146.6669
"100888150","MODELO ESP 3.2 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",35
"100888150","MODELO ESP 3.2 6PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",9
