"RTL_STORE_CD","BEERTYPE"
"101736157","NonLowPoint"
"101868560","NonLowPoint"
"107412440","NonLowPoint"
"101864183","NonLowPoint"
"107390683","NonLowPoint"
"201948871","NonLowPoint"
"107342731","NonLowPoint"
"101734401","NonLowPoint"
"107467359","NonLowPoint"
"100768115","NonLowPoint"
"100766920","NonLowPoint"
"201733473","NonLowPoint"
"105528842","NonLowPoint"
"301616936","NonLowPoint"
"101951274","NonLowPoint"
"107228309","NonLowPoint"
"102269517","NonLowPoint"
"107396948","NonLowPoint"
"201000553","NonLowPoint"
"201404026","NonLowPoint"
"104010171","NonLowPoint"
"107406769","NonLowPoint"
"201650559","NonLowPoint"
"101000533","NonLowPoint"
"201403745","NonLowPoint"
"101732191","NonLowPoint"
"100410654","NonLowPoint"
"103561759","NonLowPoint"
"101403907","NonLowPoint"
"101403888","NonLowPoint"
"101403794","NonLowPoint"
"101734453","NonLowPoint"
"101403844","NonLowPoint"
"107338606","NonLowPoint"
"102194529","NonLowPoint"
"107423982","NonLowPoint"
"101000279","NonLowPoint"
"201403863","NonLowPoint"
"101403674","NonLowPoint"
"201914562","NonLowPoint"
"101737955","NonLowPoint"
"107403350","NonLowPoint"
"102073104","NonLowPoint"
"301476164","NonLowPoint"
"101732796","NonLowPoint"
"101403755","NonLowPoint"
"105280649","NonLowPoint"
"201739588","NonLowPoint"
"101794353","NonLowPoint"
"107517067","NonLowPoint"
"101403943","NonLowPoint"
"100765515","NonLowPoint"
"101000299","NonLowPoint"
"101404143","NonLowPoint"
"107499091","NonLowPoint"
"201725210","NonLowPoint"
"100764730","NonLowPoint"
"100766747","NonLowPoint"
"301952392","NonLowPoint"
"101930880","NonLowPoint"
"104026464","NonLowPoint"
"101917054","NonLowPoint"
"101403863","NonLowPoint"
"100991419","NonLowPoint"
"101671442","NonLowPoint"
"107498681","NonLowPoint"
"107528361","NonLowPoint"
"102623219","NonLowPoint"
"201732085","NonLowPoint"
"100269334","NonLowPoint"
"101403775","NonLowPoint"
"107303799","NonLowPoint"
"107509396","NonLowPoint"
"300764675","NonLowPoint"
"107443326","NonLowPoint"
"101000573","NonLowPoint"
"107340719","NonLowPoint"
"103638531","NonLowPoint"
"201735475","NonLowPoint"
"202601102","NonLowPoint"
"101606182","NonLowPoint"
"101616889","NonLowPoint"
"101403710","NonLowPoint"
"201476262","NonLowPoint"
"101686881","NonLowPoint"
"101621738","NonLowPoint"
"101960812","NonLowPoint"
"101606248","NonLowPoint"
"200655074","NonLowPoint"
"101733775","NonLowPoint"
"100767475","NonLowPoint"
"101404020","NonLowPoint"
"300991423","NonLowPoint"
"101403803","NonLowPoint"
"201736767","NonLowPoint"
"102195634","NonLowPoint"
"103850036","NonLowPoint"
"102031430","NonLowPoint"
"101430430","NonLowPoint"
"101496432","NonLowPoint"
"102101050","NonLowPoint"
"200764440","NonLowPoint"
"101403877","NonLowPoint"
"207098372","NonLowPoint"
"107473689","NonLowPoint"
"201857836","NonLowPoint"
"101403773","NonLowPoint"
"201650423","NonLowPoint"
"101404123","NonLowPoint"
"101906172","NonLowPoint"
"100768322","NonLowPoint"
"101491007","NonLowPoint"
"101403664","NonLowPoint"
"201974199","NonLowPoint"
"100764204","NonLowPoint"
"101732295","NonLowPoint"
"101000286","NonLowPoint"
"201000485","NonLowPoint"
"102229988","NonLowPoint"
"201476164","NonLowPoint"
"101616932","NonLowPoint"
"101000278","NonLowPoint"
"201860460","NonLowPoint"
"101403800","NonLowPoint"
"100763414","NonLowPoint"
"100766819","NonLowPoint"
"101735584","NonLowPoint"
"201476250","NonLowPoint"
"101733023","NonLowPoint"
"101737999","NonLowPoint"
"100766228","NonLowPoint"
"101881624","NonLowPoint"
"105217218","NonLowPoint"
"101000304","NonLowPoint"
"101403726","NonLowPoint"
"103943446","NonLowPoint"
"100763440","NonLowPoint"
"103854860","NonLowPoint"
"201404083","NonLowPoint"
"107205487","NonLowPoint"
"105543098","NonLowPoint"
"101856465","NonLowPoint"
"100930438","NonLowPoint"
"107270773","NonLowPoint"
"101616878","NonLowPoint"
"101848997","NonLowPoint"
"501735445","NonLowPoint"
"101736334","NonLowPoint"
"100632558","NonLowPoint"
"301404034","NonLowPoint"
"101403972","NonLowPoint"
"201739464","NonLowPoint"
"101000523","NonLowPoint"
"101403786","NonLowPoint"
"104012343","NonLowPoint"
"107439163","NonLowPoint"
"101403653","NonLowPoint"
"103969392","NonLowPoint"
"101735461","NonLowPoint"
"101754587","NonLowPoint"
"101403968","NonLowPoint"
"100764671","NonLowPoint"
"201403873","NonLowPoint"
"201734380","NonLowPoint"
"101476151","NonLowPoint"
"102173984","NonLowPoint"
"101738251","NonLowPoint"
"101736674","NonLowPoint"
"101403719","NonLowPoint"
"101619101","NonLowPoint"
"101000264","NonLowPoint"
"101738862","NonLowPoint"
"101737482","NonLowPoint"
"107036884","NonLowPoint"
"101403900","NonLowPoint"
"101650562","NonLowPoint"
"202004267","NonLowPoint"
"100763567","NonLowPoint"
"100762974","NonLowPoint"
"107430701","NonLowPoint"
"102578726","NonLowPoint"
"101403642","NonLowPoint"
"100298103","NonLowPoint"
"107192584","NonLowPoint"
"101795758","NonLowPoint"
"101403901","NonLowPoint"
"300090749","NonLowPoint"
"101909465","NonLowPoint"
"102715078","NonLowPoint"
"101739474","NonLowPoint"
"105545131","NonLowPoint"
"201403733","NonLowPoint"
"107378492","NonLowPoint"
"107393616","NonLowPoint"
"100768034","NonLowPoint"
"107475226","NonLowPoint"
"202242910","NonLowPoint"
"103297938","NonLowPoint"
"101621726","NonLowPoint"
"101403779","NonLowPoint"
"101768134","NonLowPoint"
"103925699","NonLowPoint"
"100764245","NonLowPoint"
"101621724","NonLowPoint"
"101403798","NonLowPoint"
"100765535","NonLowPoint"
